Name,Description
"Youth Organisation for Joining, Action & Knowledge",social services urban rural all india ethnic groups rural poor slum dwellers students tribals urban poor women youth
YUVA BHARATI BAHUDDESHIYA SAMAJIK SEVABHAVI SANSTHA,social services rural maharashtra children dalits
YUVA KRIDA MANDAL BAHUDDESHIYA SANSTHA,social services urban rural maharashtra accident victims adolescents adults animal lovers animals birds armed forces artisans artists beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants
ZESTREET,social services urban rural all india artisans beggars dalits farmers farm labourers homeless migrants physically challenged rural poor slum dwellers urban poor women
A WAY OF HAPPINESS EDUCATIONAL SOCIETY,education and research urban rural all india adolescents adults children girl child rural poor students volunteers women youth
ADIVASI SAMAJ SHAIKSHANIK VA SAMAJIK SANSTHA TALAVALI,education and research rural maharashtra children students
AGRICULTURAL DEVELOPMENT TRUST BARAMATI,education and research rural maharashtra animals birds children farmers farm labourers girl child healthcare workers ngos rural poor women youth
alhikma Foundation India,education and research rural delhi blood donors children construction workers dalits displaced persons domestic workers farmers farm labourers girl child healthcare workers mentally challenged ngos rickshawallahs drivers rural poor students volunteers women youth
Amba Angels Parents Association for Special Children,education and research urban rural gujarat mentally challenged physically challenged
ARTI SIKSHA SAMMITTEE,social services urban rural rajasthan children youth
ARUNA ASIF ALI SHIKSHAN PRASHIKSHAN EVAM SAMAJ SEVA SAMITI,social services urban rural all india accident victims adolescents adults animal lovers animals birds armed forces artisans artists beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ donors orphans patients physically challenged plants policemen porters prisoners refugees rickshawallahs drivers rural poor salt workers scavengers human slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers war victims weavers women youth
ASHA SOCIAL DEVELOPMENT CENTRE,social services rural west bengal women youth
BASUMATA,education and research rural odisha children rural poor
BHARTIYA JAN JEEVAN KALYAN SEWA SAMITI,education and research urban rural uttar pradesh accident victims adults blood donors children construction workers displaced persons domestic workers factory workers farmers farm labourers firemen girl child healthcare workers hiv ngos plants policemen porters prisoners rickshawallahs drivers rural poor sportspersons street children students teachers truckers urban poor volunteers weavers women youth
BLUESUN FOUNDATION,health urban rural tamil nadu children patients rural poor
Centre for Education and Documentation,education and research urban maharashtra children
DARBAR SAHITYA SANSADA,social services urban rural odisha adolescents artisans children construction workers dalits disaster affected farmers farm labourers girl child migrants plants tribals urban poor women youth
DHARA SANSTHAN,health urban rural rajasthan rural poor women
DIVYAJYOTI FOUNDATION,social services rural gujarat adults
Edufun Foundation Trust,social services urban rural gujarat adolescents adults animal lovers animals birds artisans artists beggars blood donors children commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly factory workers farmers farm labourers firemen girl child healthcare workers hiv homeless juvenile lesbian gays bisexuals transgender medical practioners mentally challenged ngos organ donors orphans patients physically challenged plants porters prisoners rickshawallahs drivers rural poor scavengers human slum dwellers street children students tribals urban poor volunteers weavers women youth
EEGA TRUST,social services urban rural tamil nadu accident victims adolescents adults children dalits disaster affected displaced persons domestic workers elderly factory workers farmers farm labourers girl child homeless migrants ngos organ donors orphans patients physically challenged plants rural poor salt workers students tribals urban poor volunteers women youth
FUNDACJA ARAVINDAM SOCIAL DEVELOPMENT,education and research urban rural haryana adolescents adults children girl child juvenile migrants rural poor slum dwellers urban poor women youth
Humane Animal Society (HAS),social services urban rural tamil nadu animal lovers animals birds
KALA-VISHWA BAHUUDDESHIYA SHIKSHAN SANSTHA,social services rural maharashtra children women
Konkan Kala va Shikshan Vikas Sanstha,social services urban rural maharashtra children disaster affected elderly girl child homeless orphans patients rural poor students urban poor women youth
Koshish,health urban rural west bengal adults
Kumbhira Bakhrabad Joyenpur Gram Seba Society,social services rural west bengal children rural poor tribals youth
Lok Seva Sangh,education and research rural gujarat children women
LOK VIKAS EVAM MANAV SANSADHAN SANSTHAN ALWAR (NGO),culture and recreation urban rural rajasthan accident victims animal lovers animals birds armed forces beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile mentally challenged migrants ngos organ donors orphans patients physically challenged plants policemen porters prisoners rickshawallahs drivers rural poor slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers weavers women youth
M. B. BARVALIA FOUNDATION,health urban maharashtra adolescents children elderly girl child hiv juvenile mentally challenged patients physically challenged slum dwellers street children students teachers urban poor women youth
MADHURI SIKHSHAN EVAM PRASHIKSHAN SANSTHAN,social services rural uttar pradesh children
MAHARSHI UTTAM SWAMI JANKALYAN SAMITI,social services rural madhya pradesh children hiv youth
MANAV BANDHAN FOUNDATION,social services urban rural west bengal adults children women youth
Manjul Mahila Kalyan Samiti,social services rural all india accident victims adolescents artisans children farmers farm labourers girl child healthcare workers juvenile legal workers rural poor students women youth
MICROX FOUNDATION,health urban rural all india dalits farmers farm labourers healthcare workers patients plants women youth
MOTHER MEDICAL RESEARCH SOCIETY,education and research urban rural all india adults beggars blood donors children displaced persons domestic workers elderly homeless orphans
MOTHER NIRMALA FOUNDATION,social services urban rural all india accident victims adolescents adults animal lovers animals birds armed forces artisans artists beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ donors orphans patients physically challenged plants policemen porters prisoners refugees rickshawallahs drivers rural poor salt workers scavengers human slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers war victims weavers women youth
NARBADA SOCIAL AND EDUCATIONAL SOCIETY,social services urban rural rajasthan children
NATIONAL ERADICATION OF SOCIAL TROUBLES (N.E.S.T),health rural odisha children
Nawazish -E- Qutb -E -Konkan Trust,education and research urban rural all india accident victims blood donors children homeless mentally challenged patients physically challenged plants rickshawallahs drivers students youth
North 24 Parganas Sammyao Sramogibi Samity,social services rural west bengal children
NTR MEMORIAL TRUST,social services urban rural andhra pradesh adolescents adults blood donors children girl child orphans patients students women youth
OM JAY SOCIAL FOUNDATION TALODA,social services rural maharashtra adults women youth
PARAMPARA FOUNDATION,social services urban rural bihar adolescents adults artists children disaster affected girl child rural poor students women youth
PEERASAR VIKAS SANSTHAN,social services urban rural rajasthan animals birds children
PRAYAAS-CORPS,education and research urban rural all india children rural poor students
Ranaghat Abna Welfare Society,social services rural all india children
Raniganj Amra Achi Yuba Samaj,health urban rural west bengal adolescents adults domestic workers elderly farmers farm labourers girl child healthcare workers hiv homeless legal workers migrants ngos patients physically challenged scavengers human slum dwellers street children tribals
RASHTRIYA YOUTH COMPUTER LITERACY MISSION (RYCLM),education and research urban rural all india youth
RATNAKAR FOUNDATION TRUST,education and research rural all india accident victims adolescents adults animal lovers beggars blood donors children dalits disaster affected domestic workers elderly farmers farm labourers girl child healthcare workers hiv homeless legal workers ngos orphans patients physically challenged plants rural poor students teachers tribals urban poor volunteers
Resource & Support Centre for Development,law advocacy and politics rural maharashtra women
SADHNA PARENTS ASSOCIATION OF MENTALLY CHALLENGED PERSONS,social services rural gujarat children
Sadlichak Samaj Kalyan Samity,social services rural west bengal adults children women youth
Sambhawana,social services rural bihar accident victims adolescents adults animal lovers animals birds armed forces artisans artists beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile mentally challenged migrants ngos organ donors orphans patients physically challenged plants policemen porters prisoners refugees rickshawallahs drivers rural poor scavengers human slum dwellers street children students tribals truckers urban poor volunteers war victims weavers women youth
Santalpur Nagarik Adhikar Suraksha Welfare Society,social services rural west bengal children tribals youth
SARASWATI CHARITABLE EDUCATIONAL AND TRAINING SOCIETY,education and research urban rural all india adolescents adults animal lovers armed forces beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected domestic workers elderly ethnic groups factory workers farmers farm labourers freedom fighters girl child healthcare workers hiv homeless juvenile legal workers mentally challenged migrants ngos organ donors orphans patients physically challenged plants refugees rickshawallahs drivers rural poor salt workers scavengers human slum dwellers street children students teachers tribals urban poor volunteers weavers women youth
SHRI BIPIN DESAI MEMORIAL TRUST,health urban rural all india accident victims adults animal lovers armed forces artists beggars blood donors children commercial sex workers construction workers dalits disaster affected displaced persons domestic workers factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile legal workers lesbian gays bisexuals transgender medical practioners migrants ngos organ donors orphans patients physically challenged policemen porters prisoners refugees rickshawallahs drivers rural poor salt workers scavengers human slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers war victims weavers women youth
Shri Brahm Samaj Seva Trust,social services rural gujarat women
Shubhi Education Foundation,education and research urban rural gujarat children
SHUBHKUNDA PRATISHTHAN,social services urban maharashtra children women
Sishumangal Raiganj,health urban rural west bengal children
SNEHA ABHIYAN,social services rural odisha adults children elderly women
SRI SRI SRI CHAITANYA NITYANANDA GHANTA MRUDANGA SANGHA & LOKANRUTYA,culture and recreation rural odisha artists blood donors hiv 
SUBARNA NARI JAGARANA KENDRA,social services urban rural odisha adolescents adults beggars children dalits domestic workers elderly farmers farm labourers girl child hiv homeless juvenile mentally challenged ngos orphans physically challenged prisoners rural poor street children students tribals urban poor volunteers women youth
SUNIYE,education and research urban rural delhi children
Swa-Sahyog Sanstha,social services urban rural rajasthan adolescents adults
THE BATTI GHAR FOUNDATION,development and housing urban rural odisha artisans farmers farm labourers rural poor slum dwellers tribals urban poor weavers women youth
The Impression Foundation,social services urban rural bihar children
THE MOTHER TERESA MEMORIAL SOCIAL WELFARE TRUST,education and research rural all india children girl child slum dwellers street children students teachers
VOCATIO CAREER EDUCATION COUNCIL,education and research urban rural andhra pradesh adolescents children girl child ngos orphans students volunteers youth
aaina,social services urban rural odisha adolescents adults children dalits disaster affected girl child mentally challenged physically challenged rural poor slum dwellers tribals women
AAKANKSHA-VISION FOR A BETTER SOCIETY,social services urban rural all india children dalits girl child homeless orphans physically challenged plants rural poor sportspersons street children students volunteers women youth
AASHISH FOUNDATION,health urban rural maharashtra adolescents adults children mentally challenged physically challenged students teachers volunteers
Aatmaja Foundation,education and research urban rural all india adolescents girl child
Abha Mission for Social Health and Education,social services urban rural west bengal adults
ABHILASHA FOUNDATION,education and research urban maharashtra beggars children chronically ill construction workers elderly girl child homeless migrants orphans slum dwellers street children tribals urban poor
Action on Disability and Development (India),social services rural andhra pradesh mentally challenged physically challenged
Adarsh Shiksha Samiti,social services urban rural rajasthan adolescents adults animals birds children construction workers dalits domestic workers elderly factory workers farmers farm labourers girl child healthcare workers hiv homeless migrants ngos orphans plants rickshawallahs drivers rural poor street children students teachers tribals truckers urban poor volunteers weavers women youth
Aditya Nagraj Charitable Trust,social services urban rural maharashtra adolescents adults beggars blood donors children chronically ill disaster affected displaced persons elderly farmers farm labourers girl child healthcare workers hiv juvenile legal workers medical practioners mentally challenged ngos patients physically challenged plants rural poor students teachers truckers volunteers women youth
Agewell Foundation,social services urban rural all india disaster affected displaced persons elderly homeless physically challenged scavengers human slum dwellers
Amar Seva Sangam,social services rural tamil nadu children mentally challenged patients physically challenged
Ambassadors Service Society,social services urban rural west bengal adolescents adults children dalits disaster affected elderly ethnic groups girl child orphans patients physically challenged scavengers human slum dwellers street children students tribals urban poor women youth
ANAHATA UNITED EFFORTS FOUNDATION,education and research urban rural all india adolescents
Angel Xpress Foundation,education and research urban maharashtra adults children ngos students volunteers women youth
Apnalaya,social services urban maharashtra adolescents adults children girl child healthcare workers mentally challenged migrants physically challenged scavengers human slum dwellers students urban poor women youth
"ARMMAN (Advancing Reduction in Mortality and Morbidity of Mothers, Children and Neonates)",health urban rural all india rural poor slum dwellers urban poor women
Aurosikha Welfare Centre for Rural & Social Development,social services urban rural odisha beggars children disaster affected elderly homeless mentally challenged physically challenged slum dwellers women
Autism Society West Bengal,social services urban rural west bengal adults children
AVTAR Human Capital Trust,education and research urban rural tamil nadu adolescents girl child women youth
Azad India Foundation,education and research urban rural bihar children girl child women
BALAJEE SEWA SANSTHAN,social services urban rural bihar adolescents adults children construction workers dalits disaster affected factory workers farmers farm labourers girl child hiv migrants rural poor slum dwellers street children students urban poor weavers women youth
BAREFOOT EDU FOUNDATION,education and research urban rural maharashtra adolescents adults
Basic Integrated Rural Development Society,development and housing rural tamil nadu children rural poor students urban poor women youth
Belda Society to Promote Awareness and Concern for Environment,social services urban rural jharkhand adults animals birds blood donors children elderly farmers farm labourers juvenile mentally challenged organ donors physically challenged plants rural poor sportspersons students tribals volunteers women youth
Bethany Society,social services urban rural meghalaya adolescents adults children elderly girl child mentally challenged ngos physically challenged rural poor students teachers tribals volunteers women youth
Blind Welfare Council Dahod,education and research rural gujarat mentally challenged physically challenged rural poor students women
Bureau of Obligate and Accompainer for Rural Development,social services urban rural bihar adolescents adults children commercial sex workers dalits domestic workers farmers farm labourers girl child healthcare workers homeless rural poor slum dwellers street children students teachers urban poor women youth
BOSCO REACH OUT,social services urban rural assam adolescents adults artisans beggars children dalits disaster affected displaced persons elderly ethnic groups farmers farm labourers girl child homeless juvenile legal workers migrants ngos orphans physically challenged rural poor slum dwellers street children students teachers tribals urban poor volunteers weavers women youth
BUILDING DREAMS FOUNDATION,social services urban rural all india accident victims adolescents adults beggars blood donors children commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups farmers farm labourers girl child homeless juvenile mentally challenged ngos orphans physically challenged plants rickshawallahs drivers rural poor slum dwellers street children students tribals urban poor volunteers women youth
Care Educational Trust,social services urban rural all india accident victims adolescents adults animal lovers artisans artists beggars blood donors children chronically ill construction workers dalits disaster affected domestic workers elderly factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile medical practioners mentally challenged ngos orphans patients physically challenged plants policemen porters rickshawallahs drivers rural poor scavengers human slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers war victims weavers women youth
CARE TRUST,education and research rural all india adolescents animals birds children dalits elderly girl child rural poor tribals women youth
"Center of Needy, Creative, Experiment & Participatory Techniques Society",social services urban rural madhya pradesh adolescents artists children dalits farmers farm labourers girl child ngos tribals urban poor women youth
CENTRE FOR AQUATIC LIVELIHOOD- JALJEEVIKA,environment rural all india farmers farm labourers ngos rural poor tribals women
CENTRE FOR SOCIAL AND BEHAVIOUR CHANGE COMMUNICATION,social services urban rural maharashtra adolescents children students teachers youth
Chaitanya Educational and Rural Development Society,social services rural andhra pradesh adolescents artisans children disaster affected farmers farm labourers girl child orphans physically challenged rural poor scavengers human tribals weavers women youth
Chaitanya Rural Development Social Service Society,social services urban rural andhra pradesh children
CHANDRA DEV CHARITABLE SOCIETY,social services urban rural maharashtra children
CHILD VIKAS FOUNDATION,development and housing urban rural karnataka children
Childline India Foundation,social services urban rural all india children street children
Community Action for Rural Development Society (CARDS),social services rural tamil nadu adolescents adults children dalits elderly girl child migrants ngos physically challenged rickshawallahs drivers rural poor scavengers human slum dwellers street children students teachers tribals urban poor weavers women youth
"Community Health, Housing and Social Education (CHHASE)",social services urban rural tamil nadu adolescents children disaster affected elderly girl child hiv homeless migrants orphans physically challenged plants rural poor street children tribals urban poor women youth
Counsel To Secure Justice,social services urban delhi adults children girl child juvenile migrants
CRY - Child Rights and You,social services urban rural andhra pradesh children
Cuddles Foundation,health urban rural andhra pradesh adults children
CULP: Centre For Unfolding Learning Potentials Society,education and research urban rural rajasthan adolescents adults children commercial sex workers construction workers dalits domestic workers ethnic groups farmers farm labourers girl child hiv homeless juvenile legal workers mentally challenged migrants ngos orphans physically challenged rural poor scavengers human slum dwellers students teachers tribals urban poor volunteers women youth
DAKSHAYANI AND AMARAVATI HEALTH AND EDUCATION,health urban rural all india chronically ill elderly healthcare workers hiv medical practioners migrants patients youth
DEVELOPMENT CONSORTIUM,social services urban rural all india adolescents adults children commercial sex workers girl child healthcare workers hiv lesbian gays bisexuals transgender students teachers women youth
DHAGAGIA SOCIAL WELFARE SOCIETY,social services urban rural west bengal adults
DREAMS ALIVE,environment urban rural tamil nadu adults children disaster affected farmers farm labourers homeless students
EK TARA,social services urban rural west bengal adolescents adults children domestic workers girl child slum dwellers street children students urban poor women youth
ELDER CARE TRUST,health urban rural daman and diu adults chronically ill elderly patients physically challenged
Federation for Agricultural Research Methodologies (FARM),social services rural tamil nadu children elderly farmers farm labourers homeless rural poor students youth
FOODSHAALA FOUNDATION,social services urban haryana adolescents adults children slum dwellers students teachers urban poor women youth
Foster Care Society,social services urban rajasthan children orphans women
Foundation for Initiatives in Development and Education for All (IDEA),education and research urban rural maharashtra adolescents adults children girl child slum dwellers urban poor women youth
FREEDOM FOR YOU FOUNDATION,social services urban rural gujarat accident victims adolescents adults animals birds beggars blood donors children chronically ill construction workers dalits disaster affected displaced persons domestic workers elderly factory workers firemen girl child healthcare workers hiv homeless juvenile medical practioners mentally challenged ngos organ donors orphans patients physically challenged plants policemen rural poor scavengers human slum dwellers street children students teachers tribals urban poor volunteers women youth
Goodwill Social Work Centre,social services rural all india children
GOONJ,social services urban rural all india adolescents children disaster affected ngos rural poor urban poor volunteers women
Gram Vikas,social services rural jharkhand adults children dalits disaster affected elderly farmers farm labourers girl child rural poor students tribals women youth
Gramya Vikas Parishad Mangalpur,social services urban rural all india adolescents adults animal lovers beggars children chronically ill commercial sex workers farmers farm labourers girl child healthcare workers hiv patients rickshawallahs drivers rural poor slum dwellers students urban poor volunteers women youth
Habitat for Humanity India Trust,development and housing urban rural all india homeless
Hariraj Charitable Trust,social services urban rural gujarat children farmers farm labourers women youth
HEAD HELD HIGH FOUNDATION,social services rural all india rural poor
HOLY CROSS EDUCATIONAL AND CHARITABLE TRUST,social services urban rural tamil nadu children construction workers dalits disaster affected displaced persons elderly factory workers farmers farm labourers girl child orphans patients rural poor slum dwellers students urban poor women
HRhelpdesk Trust,education and research urban rural all india rural poor women
Human Education for Liberation of the Poor - Trust,education and research urban rural maharashtra girl child rural poor slum dwellers
Human Rights Organisation,social services urban rural bihar adults blood donors children dalits disaster affected displaced persons farmers farm labourers girl child ngos rural poor street children tribals urban poor women youth
Hyderabad Karnataka Disabled Welfare Society,social services urban rural all india adolescents adults beggars children elderly girl child mentally challenged ngos orphans physically challenged rural poor slum dwellers street children students teachers urban poor volunteers women
INDIA HIV/ AIDS ALLIANCE,health urban rural all india adolescents adults children commercial sex workers construction workers healthcare workers hiv lesbian gays bisexuals transgender migrants ngos women youth
INDIA TRIBAL CARE TRUST,education and research rural all india children tribals women
INDIAN GRAMEEN SERVICES,social services rural all india adolescents adults artisans displaced persons ethnic groups farmers farm labourers ngos rural poor tribals weavers women youth
Isha Education,education and research rural andhra pradesh children girl child rural poor students teachers
JAN JAGRAN KENDRA,social services urban rural bihar adolescents adults artisans children farmers farm labourers girl child hiv juvenile ngos orphans rural poor scavengers human slum dwellers street children tribals urban poor women youth
Janshakti Chetna Foundation,social services urban rural all india accident victims adults artists blood donors children chronically ill disaster affected displaced persons domestic workers elderly ethnic groups freedom fighters girl child healthcare workers homeless medical practioners migrants ngos
Jayaprakash Narayan Memorial Trust,education and research urban rural bihar children
Kaladanga Al-Qirat Charitable Society,social services urban all india women
Kankura Masat Social Welfare Society,social services rural all india children
KARMI,social services urban rural odisha adolescents adults children construction workers farmers farm labourers girl child migrants rural poor women youth
Katakhali Swapnopuron Welfare Society,social services rural west bengal adolescents children girl child mentally challenged migrants physically challenged rural poor students women youth
KESHAVA KRIPA SAMVARDHANA SAMITI,social services urban rural karnataka adolescents children dalits girl child rickshawallahs drivers rural poor slum dwellers street children students urban poor weavers women youth
KEYED FOUNDATION,education and research urban karnataka children ngos students teachers women
Kidpower (A Welfare Society),social services urban rural andhra pradesh adolescents children girl child physically challenged
LAKSHYA JEEVAN JAGRITI NGO,education and research urban delhi adults domestic workers girl child students women youth
Lakshyam,social services urban rural all india children
LEXQUEST FOUNDATION,law advocacy and politics urban rural all india adolescents adults children construction workers dalits disaster affected domestic workers legal workers lesbian gays bisexuals transgender migrants rickshawallahs drivers students teachers urban poor volunteers women youth
Light of Life Trust,education and research rural gujarat adolescents adults children farmers farm labourers girl child plants rural poor students teachers tribals women youth
LOKAMATA RANI RASHMONI MISSION,social services urban rural west bengal adolescents adults blood donors children farmers farm labourers girl child ngos students teachers volunteers women youth
Madurai Health and Leprosy Relief Centre,health urban rural tamil nadu children chronically ill patients physically challenged students
Mahan,health rural madhya pradesh accident victims adolescents adults children dalits elderly farmers farm labourers girl child healthcare workers medical practioners ngos patients physically challenged rural poor students tribals volunteers women youth
MAITREYI MAHILA MANDAL,social services urban rural all india adolescents adults children elderly patients women youth
Majhipara Ambedkar Centre For Human Research And Development,education and research urban rural west bengal children dalits elderly girl child rural poor slum dwellers street children students tribals urban poor women
Makhla Muktadhara Rehabilitation Centre for the Disabled,social services urban rural west bengal children girl child mentally challenged physically challenged rural poor
Makkal Vilipunarvu Kalvi Sangam,social services rural tamil nadu children scavengers human women
MANAV UTTHAN SAMITI,social services urban rural all india adults children commercial sex workers construction workers dalits farmers farm labourers girl child healthcare workers hiv homeless legal workers medical practioners mentally challenged ngos patients physically challenged rickshawallahs drivers rural poor slum dwellers sportspersons street children students teachers tribals urban poor women youth
MArathwada NAvnirman LOKayat (MANAVLOK),social services urban rural maharashtra accident victims adolescents adults blood donors children construction workers disaster affected displaced persons domestic workers elderly farmers farm labourers girl child healthcare workers hiv homeless legal workers mentally challenged migrants ngos orphans patients physically challenged plants rural poor sportspersons students urban poor volunteers women youth
MANDRA LIONS CLUB,social services rural west bengal adolescents adults animals birds children dalits disaster affected displaced persons domestic workers elderly farmers farm labourers girl child homeless ngos patients rural poor students tribals youth
MAULANA ABUL KALAM AZAD EDUCATION TRUST,social services urban maharashtra children disaster affected domestic workers girl child physically challenged scavengers human slum dwellers students teachers women
Mauli Multipurpose charitable society,health urban rural all india accident victims adolescents adults blood donors children chronically ill commercial sex workers construction workers disaster affected displaced persons factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv juvenile legal workers medical practioners mentally challenged migrants patients physically challenged rickshawallahs drivers rural poor truckers urban poor volunteers war victims women youth
MISSION DEEP EDUCATIONAL TRUST,education and research rural punjab students
MOB Rural Health Centre,health urban rural karnataka homeless physically challenged women
MOTIVATION INDIA,health urban rural all india physically challenged
Muktangan Education Trust,education and research urban maharashtra children teachers women
MUTHAMIL EDUCATION AND RURAL DEVELOPMENT SOCIETY,social services urban rural tamil nadu adolescents adults children dalits disaster affected elderly farmers farm labourers girl child healthcare workers hiv orphans physically challenged rural poor slum dwellers street children students tribals urban poor women youth
NADA (INDIA) FOUNDATION,social services urban rural all india adolescents armed forces children chronically ill elderly girl child healthcare workers ngos prisoners slum dwellers students urban poor volunteers women youth
Navasrushti International Trust,social services urban rural maharashtra adults children rural poor students urban poor volunteers women youth
Nayan Foundation for Performing Arts,social services urban all india mentally challenged physically challenged
NESAM Trust,education and research rural tamil nadu adolescents animals birds children dalits farmers farm labourers legal workers ngos
Nurturing Minds Charitable Trust,health urban rural all india adolescents adults girl child ngos street children students teachers women youth
OLIVE FOUNDATION TRUST,social services urban rural all india adolescents adults beggars children construction workers dalits disaster affected girl child hiv homeless ngos students teachers tribals urban poor volunteers weavers women youth
OM MAA HATIASUNI TRUST,development and housing urban rural odisha accident victims adolescents adults artists beggars blood donors children chronically ill dalits disaster affected girl child healthcare workers hiv homeless mentally challenged orphans patients physically challenged rural poor slum dwellers street children tribals urban poor volunteers women youth
PADASALAI (Centre for skills - Development and Training),development and housing urban rural tamil nadu children construction workers dalits disaster affected girl child mentally challenged orphans physically challenged rural poor slum dwellers street children students teachers tribals urban poor volunteers women youth
PARA MEDICAL EDUCATIONAL TRUST,social services rural tamil nadu children girl child hiv rural poor tribals women youth
PARENTS ASSOCIATION OF MENTALLY HANDICAPPED OF JAMSHEDPUR,social services urban rural jharkhand adolescents adults mentally challenged
PLANETREAD,education and research urban rural all india adults children girl child students teachers women youth
Population First,health urban rural maharashtra adolescents adults children girl child students tribals women youth
Prakriti Foundation for Natural Resources Regeneration,development and housing rural gujarat adolescents adults artisans farmers farm labourers migrants ngos rural poor tribals volunteers women youth
PRATIGYA,education and research urban rural jharkhand children
Prayas,philanthropic intermediaries and voluntarism promotion urban rural maharashtra adolescents adults children disaster affected domestic workers elderly ngos physically challenged rickshawallahs drivers slum dwellers students teachers volunteers women youth
Prayatna School of Excellence,social services urban rural haryana children girl child rural poor slum dwellers street children students urban poor
PROTSAHAN INDIA FOUNDATION,education and research urban delhi adolescents children girl child street children women
RAAH Foundation,social services rural maharashtra artisans artists ethnic groups farmers farm labourers rural poor tribals women youth
Rajasthan Samgrah Kalyan Sansthan,social services urban rural rajasthan adolescents adults artisans artists children construction workers dalits factory workers farmers farm labourers freedom fighters girl child healthcare workers hiv homeless migrants ngos plants rickshawallahs drivers rural poor slum dwellers street children students tribals urban poor volunteers women youth
Ramparva Samajik Shaikshanik Seva Samiti,social services urban rural maharashtra women
Rashtriya Jan Hit Sewa Sansthan,education and research urban rural all india adults animal lovers children domestic workers farmers farm labourers girl child healthcare workers homeless legal workers medical practioners mentally challenged ngos organ donors rural poor street children students teachers tribals urban poor volunteers weavers women youth
Rays - Aasha ki ek kiran,social services urban rural rajasthan children hiv orphans rural poor women
R.M.D. PAIN & PALLIATIVE CARE TRUST,health urban rural tamil nadu chronically ill elderly healthcare workers patients rural poor students women
ROSHNI NILAYA,social services rural tamil nadu adolescents children girl child homeless juvenile orphans slum dwellers street children women
Redemption Research for Health and Educational Development Society,social services urban rural andhra pradesh adolescents adults beggars blood donors children chronically ill construction workers dalits disaster affected displaced persons domestic workers elderly factory workers farmers farm labourers firemen girl child healthcare workers hiv homeless mentally challenged migrants ngos organ donors orphans patients physically challenged plants porters prisoners refugees rickshawallahs drivers rural poor salt workers scavengers human slum dwellers sportspersons street children students tribals truckers urban poor volunteers weavers women youth
Rural Reconstruction Organisation,social services rural odisha children dalits girl child rural poor students women
RURAL TECHNOLOGY AND MANAGEMENT KHADI AND VILLAGE INDUSTRIES SAMITI,social services rural odisha dalits tribals women youth
Sabuj Sangha,social services urban rural west bengal adolescents adults children disaster affected rural poor slum dwellers street children women youth
SADEV HELP GLOBAL FOUNDATION,education and research urban rural all india rural poor
SAFE (Social Association for Everyone),social services urban rural odisha accident victims adults animals birds children elderly farmers farm labourers girl child healthcare workers medical practioners rickshawallahs drivers rural poor slum dwellers street children truckers urban poor volunteers women
Safe Kids Foundation,education and research urban rural gujarat adolescents adults children healthcare workers ngos rickshawallahs drivers slum dwellers street children students teachers tribals truckers volunteers women youth
Sahara,social services urban rural telangana children elderly rural poor
Saint Hardyal Educational and Orphans Welfare Society,social services urban rural delhi beggars chronically ill elderly homeless mentally challenged orphans patients physically challenged rural poor slum dwellers urban poor women
SAKSHI,health urban rural all india adolescents adults children girl child lesbian gays bisexuals transgender students women youth
Saluka Sishu Siksha Niketan,education and research urban rural west bengal animals birds beggars blood donors children
Sandnya Sanwardhan Sanstha,education and research urban rural maharashtra mentally challenged
Sangeeta Darvekar Charitable Trust,social services urban rural all india adolescents adults tribals
SANKALP JYOTI,social services urban rural bihar accident victims adolescents adults artisans artists beggars children construction workers dalits disaster affected displaced persons domestic workers elderly factory workers farmers farm labourers girl child homeless mentally challenged migrants ngos physically challenged plants rickshawallahs drivers rural poor scavengers human slum dwellers street children students teachers urban poor volunteers women youth
